text	term	sentiment
so what you really end up paying for is the $T$ not the food .	restaurant	neutral
the menu looked great , and the waiter was very nice , but when the $T$ came , it was average .	food	neutral
not a very fancy $T$ but very good chinese style indian food .	place	neutral
helpful service and average price per $T$ $ 10 .	dish	neutral
what you are paying for is the $T$ and the name .	environment	neutral
$T$ was good but not amazing .	vanison	neutral
$T$ has history and it is a sort of landmark of new york city restaurants , but trust me , they will charge you through the nose just so that you can say ` ` i ' ve been to the four seasons restaurant ' ' .	the four seasons	neutral
we did arrive late for our reservation so i can not complain too much about the $T$ for a table .	wait	neutral
the $T$ is fairly simple without much descriptions .	menu	neutral
very ` ` normal $T$ ' ' , but done really well .	indian food	neutral
the $T$ was average , but the stone bowl was n ' t even close to sizzling .	bibimbap	neutral
a quintessential $T$ .	slice of nyc pizza	neutral
not only is it an adventure getting to this somewhat hidden $T$ , once you enter the unmarked wooden doors , the zen and intimate decor will make you feel like you ’ re no longer in the city .	spot	neutral
the $T$ were served with miso soup and rice .	entrees	neutral
for desserts , we tried the $T$ ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .	frozen black sesame mousse	neutral
for desserts , we tried the $T$ ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .	frozen black sesame mousse	neutral
restaurant with a $T$	view	neutral
the food we ordered was excellent , although i would n ' t say the $T$ were anything to write home about .	margaritas	neutral
our $T$ was n ' t mean , but not especially warm or attentive either .	waitress	neutral
our $T$ was n ' t mean , but not especially warm or attentive either .	waitress	neutral
the $T$ however seems to be the distraction so you wo n ' t notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come ! ! ! !	decor	neutral
the $T$ is very good , but not outstanding .	food	neutral
the $T$ is okay and the prices here are mediocre .	food	neutral
the high prices you ' re going to pay is for the $T$ not for the food .	view	neutral
not what i would expect for the price and prestige of this $T$ .	location	neutral
not what i would expect for the price and prestige of this $T$ .	location	neutral
the $T$ was ok and fair nothing to go crazy .	food	neutral
the $T$ was ok and fair nothing to go crazy .	food	neutral
the $T$ is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts .	environment	neutral
i tried a couple other $T$ but was n ' t too impressed .	dishes	neutral
though it ' s been crowded most times i ' ve gone here , $T$ always delivers on their food .	bark	neutral
not the biggest $T$ but adequate .	portions	neutral
not the biggest $T$ but adequate .	portions	neutral
the $T$ is rustic , traditional japanese .	decor	neutral
the $T$ is rustic , traditional japanese .	decor	neutral
the $T$ is mixed yuppies , young and old .	crowd	neutral
mediocre $T$	food	neutral
the outside patio area has an abbreviated $T$ .	menu	neutral
$T$ was decent .	service	neutral
it ' s located in a strip mall near the beverly center , not the greatest $T$ , but the food keeps me coming back for more .	location	neutral
the $T$ was just okay .	atmosphere	neutral
if i want to stand in line on sunday for an hour to get average $T$ , then i would put murphy ' s at the top of the list .	brunch food	neutral
the $T$ here is slightly above average that is not worth the snotty attitude that you receive .	regular menu	neutral
the $T$ here is slightly above average that is not worth the snotty attitude that you receive .	regular menu	neutral
the only problem would be the $T$ , but we usually just have a drink in the front while waiting .	wait	neutral
i waited for 10 - 15 minutes for $T$ ordered a beer & was never served again .	service	neutral
the $T$ was ok , but the service was so poor that the food was cold buy the time everyone in my party was served .	food	neutral
terrible service , $T$ ok , pricey	food	neutral
$T$ wise , its ok but a bit pricey for what you get considering the restaurant is n ' t a fancy place .	food	neutral
food wise , its ok but a bit pricey for what you get considering the $T$ is n ' t a fancy place .	restaurant	neutral
it is n ' t the cheapest $T$ but has been worth it every time .	sushi	neutral
– schooner or later ' s charming location along the marina in long beach and average $T$ does not , unfortunately , compensate for its very poor customer service .	food	neutral
i got the $T$ and it was alright .	shellfish and shrimp appetizer	neutral
it was n ' t the freshest $T$ ever , but the taste and presentation was ok .	seafood	neutral
it was n ' t the freshest $T$ ever , but the taste and presentation was ok .	seafood	neutral
it ? s served with either a peppercorn sauce or $T$ , though both were indistinguishable in taste .	red wine reduction	neutral
it ? s served with either a $T$ or red wine reduction , though both were indistinguishable in taste .	peppercorn sauce	neutral
it ' s a tiny $T$ so if you get there before 8pm on a weekend ( thurs ? sun ) you will find it easier to get a table or a seat at the sushi bar .	place	neutral
$T$ was just enough for me , but may not be for a big eater .	portions	neutral
fair $T$ .	menu selection	neutral
the $T$ are big though , so do not order too much .	portions	neutral
our server continued to be attentive throughout the night , but i did remain puzzled by one issue : who thinks that $T$ is an appropriate place to take young children for dinner ?	ray ' s	neutral
sit in the $T$	balcony	neutral
- mediocre $T$ / quality	service	neutral
