text	term	sentiment
food was very good as well , considering that we tried the budget selection ( though i wish the $T$ that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .	pork belly	negative
traditional french decour was pleasant though the $T$ was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .	hall	negative
food is usually very good , though ocasionally i wondered about freshmess of $T$ .	raw vegatables in side orders	negative
the workers there also absolutely load the $T$ with cream cheese ( gets a little messy ) .	bagel	negative
this $T$ was way overhyped .	restaurant	negative
my $T$ was really bland and oily .	chow fun and chow see	negative
my $T$ was really bland and oily .	chow fun and chow see	negative
it ' s boring on the inside , and our $T$ was pretty below average . . . the tuna was soggy and the other rolls had no flavor .	sushi	negative
it ' s boring on the inside , and our sushi was pretty below average . . . the $T$ was soggy and the other rolls had no flavor .	tuna	negative
it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other $T$ had no flavor .	rolls	negative
the price is reasonable although the $T$ is poor .	service	negative
i have reservations about the $T$ , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .	all you can eat deal	negative
i have reservations about the $T$ , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .	all you can eat deal	negative
the $T$ is noisy and the waiters are literally walking around doing things as fast as they can .	atmosphere	negative
sometimes i get bad $T$ and bad service , sometimes i get good good and bad service .	food	negative
sometimes i get bad food and bad $T$ , sometimes i get good good and bad service .	service	negative
sometimes i get bad food and bad $T$ , sometimes i get good good and bad service .	service	negative
mine was a little burnt but still delicious with goat cheese and panchetta ( $T$ was kind of bitter though ) .	raddichio	negative
$T$ was slow , but the people were friendly .	service	negative
$T$ was also horrible and the ambience is not that great .	service	negative
service was also horrible and the $T$ is not that great .	ambience	negative
we ordered some $T$ from the thai section of the menu but nothing we got was thai .	beef and noodle soup dishes	negative
we wo n ' t go to this place again for a good $T$ .	meal	negative
first of all , this $T$ is * not * romantic , as claimed by citysearch ' s editorial review .	place	negative
the $T$ are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .	tables	negative
the $T$ are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .	tables	negative
the tables are crammed way too close , the menu is typical of any italian restaurant , and the $T$ is simply overpriced .	wine list	negative
slightly above average $T$ start at $ 70 + with only one selection listed at $ 30 + .	wines	negative
slightly above average $T$ start at $ 70 + with only one selection listed at $ 30 + .	wines	negative
$T$ is not what one would expect from a joint in this price category .	service	negative
somehow working the italian charm with constant mille grazie does not constitute proper $T$ .	service	negative
to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of $T$ .	teodora	negative
not one of our $T$ was edible - bland and / or made with weird rosemary or orange flavoring .	meals	negative
not one of our meals was edible - bland and / or made with weird $T$ .	rosemary or orange flavoring	negative
$T$ was overdone .	fish	negative
cute $T$ , nice wait staff but would never go there again .	place	negative
someone else recommended the $T$ - we also left that .	dessert	negative
skip this $T$ , it ' s a big disappointment .	restaurant	negative
skip this $T$ , it ' s a big disappointment .	restaurant	negative
the $T$ is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .	place	negative
the $T$ is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .	place	negative
the $T$ can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .	food	negative
with the exception of our $T$ that had so much pepper on it that our eyes started watering , the food here was decent , not great .	lemon salad	negative
we ordered the special , $T$ , that was so infused with bone , it was difficult to eat .	grilled branzino	negative
problem is nothing at $T$ is particularly memorable .	prune	negative
the $T$ however , is what one might expect .	food	negative
$T$ was slow had to wait to order and get food although not crowded .	service	negative
$T$ way over priced .	drinks	negative
not impressed with the $T$ .	food	negative
prices too high for this cramped and unappealing $T$ .	resturant	negative
prices too high for this cramped and unappealing $T$ .	resturant	negative
prices too high for this cramped and unappealing $T$ .	resturant	negative
zero $T$ to boot .	ambiance	negative
i thought this $T$ was totally overrated .	place	negative
the ambience was nice , but $T$ was n ' t so great .	service	negative
despite a slightly limited $T$ , everything prepared is done to perfection , ultra fresh and a work of food art .	menu	negative
although the $T$ may be closely situated , the candle - light , food - quality and service overcompensate .	tables	negative
the $T$ and the waitress were incredibly rude and did everything they could to rush us out .	hostess	negative
the hostess and the $T$ were incredibly rude and did everything they could to rush us out .	waitress	negative
we were planning to get dessert but the $T$ basically through the bill at us before we had a chance to order .	waitress	negative
this $T$ is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	place	negative
this place is pricey , and yes , $T$ food is worth it ; but the service makes you feel like you should be paying a quater of the price .	the	negative
i ate here a week ago and found most $T$ average at best and too expensive .	dishes	negative
i ate here a week ago and found most $T$ average at best and too expensive .	dishes	negative
do n ' t dine at tamarind for the $T$ , they are simply not up to par with the non - veg selections .	vegetarian dishes	negative
$T$ is simply disgusting .	haru on park s	negative
the $T$ was not fresh and the rice tasted old and stale .	fish	negative
the fish was not fresh and the $T$ tasted old and stale .	rice	negative
the fish was not fresh and the $T$ tasted old and stale .	rice	negative
quite frankly , this is some of the worst $T$ i have ever tried .	sushi	negative
honestly the worst $T$ my husband and i had in our entire lives .	sushi	negative
not sure why this $T$ would be rated that highly .	restaurant	negative
the $T$ is definitely in very poor quality .	all - u - can - eat sushi	negative
the only things u could really taste are the very salty $T$ ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .	soy sauce	negative
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked $T$ , and the scallion on top of the fish .	rice	negative
i have been to $T$ twice and both times were very disappointing .	roth ' s	negative
both times i was extremely dissappointed by the $T$ , which was boarderline rude .	service	negative
both times i was extremely dissappointed by the $T$ , which was boarderline rude .	service	negative
the $T$ was ok , nothing i would have again .	dinner	negative
the $T$ can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !	svc	negative
this restaurant is vegetarian ; there are no $T$ whatsoever .	meat dishes	negative
the $T$ are uncomfortable if you are sitting against the wall on wooden benches .	seats	negative
it ' s a rather cramped and busy $T$ and it closes early .	restaurant	negative
it ' s a rather cramped and busy $T$ and it closes early .	restaurant	negative
not a great $T$ for family or general dining .	place	negative
the only fallback on this $T$ is the prices .	restaurant	negative
the $T$ is $ 24 and although it was good it was not nearly enough to warrant that price .	lobster sandwich	negative
we ate at this thai place following the reviews but very unhappy with the $T$ .	foods	negative
we thought that this place is using too much of msg cooking in the $T$ .	foods	negative
i like cafe noir dont get me wrong , it is jsut that the $T$ who work there are evil and incompetent ! !	people	negative
i like cafe noir dont get me wrong , it is jsut that the $T$ who work there are evil and incompetent ! !	people	negative
the $T$ was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .	service	negative
the $T$ , seems to be more concerned of looking good than actually waitressing .	waitress	negative
after dinner the $T$ grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .	manager	negative
we did tip , i guess the model / $T$ just wanted more and complained to the manager .	waitress	negative
i was here a few weeks back and we had the worst $T$ experience at a restaurant ever .	customer service	negative
a $T$ , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .	gentleman	negative
i have tried to make reservations , but both times , the $T$ did n ' t have my name .	hostess	negative
the staff has been nice , but they seemed really stressed and the $T$ needs to be cleaned more often .	unisex bathroom	negative
but the $T$ was a bit slow .	service	negative
i would recommend roxy ' s for that , but not for their $T$ .	food	negative
consequently , their $T$ fell apart in their hands and made such a mess that they did ' nt feel like finishing them .	burgers	negative
this place is really trendi but they have forgotten about the most important part of a restaurant , the $T$ .	food	negative
the last two times i ordered from here my $T$ was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .	food	negative
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the $T$ took away from the flavor of the dish .	spice	negative
and the $T$ was pathetic .	tom kha soup	negative
if you want good authentic $T$ this place is not the place to go .	thai	negative
if you want good authentic $T$ this place is not the place to go .	thai	negative
average to good thai food , but terrible $T$ .	delivery	negative
the $T$ arrived 20 minutes after i called , cold and soggy .	food	negative
the $T$ arrived 20 minutes after i called , cold and soggy .	food	negative
guacamole + shrimp appetizer was really great , we both had the filet , very good , did n ' t much like the $T$ that came with , but the filet was so good , neither of us cared .	frites	negative
the $T$ was mediocre at best but it was the horrible service that made me vow never to go back .	food	negative
the food was mediocre at best but it was the horrible $T$ that made me vow never to go back .	service	negative
immediately after we paid , the $T$ took the money and said , okay , you guys are outta here .	waiter	negative
for the people who want great $T$ plus great service , roxy is a place to avoid !	food	negative
for the people who want great food plus great $T$ , roxy is a place to avoid !	service	negative
the first time the $T$ was outstanding , the second time it was a little bland .	sushi	negative
the first time the $T$ was outstanding , the second time it was a little bland .	sushi	negative
the $T$ was bland and small , dessert was not inspired .	entree	negative
the $T$ was bland and small , dessert was not inspired .	entree	negative
the entree was bland and small , $T$ was not inspired .	dessert	negative
i expected quite a bit more from such an expensive $T$ .	menu	negative
i expected quite a bit more from such an expensive $T$ .	menu	negative
even if the $T$ was n ' t this good , the garden is a great place to sit outside and relax .	food	negative
their $T$ are horrific , bad , vomit - inducing , yuck .	calzones	negative
their $T$ are horrific , bad , vomit - inducing , yuck .	calzones	negative
their $T$ are horrific , bad , vomit - inducing , yuck .	calzones	negative
their $T$ are horrific , bad , vomit - inducing , yuck .	calzones	negative
the $T$ is bad .	counter service	negative
no $T$ for me !	pizza 33	negative
the $T$ are skimpy , unattractive and drip with grease , and personally i ' d drink popcorn topping before i ' d eat another one of these .	dosas	negative
the $T$ are skimpy , unattractive and drip with grease , and personally i ' d drink popcorn topping before i ' d eat another one of these .	dosas	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
the $T$ are dry , tasteless and way overpriced .	sandwiches	negative
calling the $T$ hampton chutney co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .	place	negative
calling the place hampton chutney co . does warn you that these folks offer more style than substance , but in this unattractive $T$ with unhelpful clerks there was a dearth of the former too .	room	negative
calling the place hampton chutney co . does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful $T$ there was a dearth of the former too .	clerks	negative
but who says murray ' s is anything about $T$ .	service	negative
the $T$ is awful .	service	negative
this $T$ is not worth the prices .	place	negative
this $T$ is not worth the prices .	place	negative
i asked for an open faced cheese sandwich and the $T$ basically told me to take my business elsewhere !	manager	negative
the $T$ was soy sauce and water .	soup for the udon	negative
the $T$ was awful !	sushi	negative
the $T$ was poor quality and was cooked so badly it was hard .	rice	negative
the $T$ was poor quality and was cooked so badly it was hard .	rice	negative
the $T$ was poor quality and was cooked so badly it was hard .	rice	negative
furthermore , the $T$ had no seasoning , so the sushi was bland and disgusting .	rice	negative
furthermore , the rice had no seasoning , so the $T$ was bland and disgusting .	sushi	negative
furthermore , the rice had no seasoning , so the $T$ was bland and disgusting .	sushi	negative
the $T$ was adequate , but inexpertly sliced .	fish	negative
the $T$ was adequate , but inexpertly sliced .	fish	negative
it is obvious that no one in the restaurant has any idea about or experience with $T$ .	japanese cuisine	negative
well , this $T$ is so ghetto its not even funny .	place	negative
well , this $T$ is so ghetto its not even funny .	place	negative
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar $T$ minimun then you ' ll love it here .	bottle	negative
if you like your $T$ blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ' ll love it here .	music	negative
during the course of the past 3 months , the $T$ and staff changed and it was not for the better .	chef	negative
during the course of the past 3 months , the chef and $T$ changed and it was not for the better .	staff	negative
the $T$ now is inconsistent .	food	negative
the $T$ here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .	wait	negative
the wait here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum $T$ is not your gig , this is a sleek ( for chinatown ) alternative .	atmosphere	negative
a few tips : skip the $T$ , roast pork buns and egg custards .	turnip cake	negative
a few tips : skip the turnip cake , $T$ and egg custards .	roast pork buns	negative
a few tips : skip the turnip cake , roast pork buns and $T$ .	egg custards	negative
the $T$ is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	restaurant	negative
the pad se ew chicken was delicious , however the $T$ was far too oily .	pad thai	negative
this place would be so much better served by being run by a group that actually understands $T$ .	customer service	negative
terrible , terrible $T$ - deserves to be shut - down .	management	negative
terrible , terrible $T$ - deserves to be shut - down .	management	negative
$T$ and toppings are great - though a bit pricey .	spreads	negative
spreads and $T$ are great - though a bit pricey .	toppings	negative
the $T$ is decent at best , and the ambience , well , it ' s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .	food	negative
the food is decent at best , and the $T$ , well , it ' s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .	ambience	negative
their $T$ are fine , but they are a little overcooked , and not really a ' special ' bagel experience .	bagels	negative
their $T$ are fine , but they are a little overcooked , and not really a ' special ' bagel experience .	bagels	negative
drawbacks : $T$ is slow and they do n ' t toast !	service	negative
downtown dinner 2002 - prixe fix : appetizers were ok , $T$ gave me poor suggestion . . . try the potato stuff kanish best one .	waiter	negative
downtown dinner 2002 - prixe fix : appetizers were ok , $T$ gave me poor suggestion . . . try the potato stuff kanish best one .	waiter	negative
$T$ is a joke . . . dont bother	dessert	negative
too bad the $T$ was n ' t of the same heritage .	food	negative
the $T$ was tasteless , so was the seafood tagliatelle .	porcini mushroom pasta special	negative
the porcini mushroom pasta special was tasteless , so was the $T$ .	seafood tagliatelle	negative
but that was n ' t the icing on the cake : a $T$ that resembled nothing i have ever had .	tiramisu	negative
it ' s definately not a $T$ to go if you want to impress someone .	place	negative
while the ambiance and atmosphere were great , the $T$ and service could have been a lot better .	food	negative
while the ambiance and atmosphere were great , the food and $T$ could have been a lot better .	service	negative
we ordered the $T$ , but what we got were a few small pieces of chicken , all dark meat and on the bone .	chicken casserole	negative
we ordered the $T$ , but what we got were a few small pieces of chicken , all dark meat and on the bone .	chicken casserole	negative
skip $T$ .	dessert	negative
do n ' t miss $T$ on your next trip to manhatten .	bloom ' s	negative
the $T$ was not fresh , the sauces were bland and very oily .	food	negative
the food was not fresh , the $T$ were bland and very oily .	sauces	negative
the food was not fresh , the $T$ were bland and very oily .	sauces	negative
$T$ was a little soggy .	pizza	negative
not enough $T$ either .	wines by the glass	negative
the $T$ was actually aweful .	food	negative
the $T$ were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .	mussles	negative
the mussles were the fishiest things i ' ve ever tasted , the $T$ was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .	seabass	negative
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the $T$ was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .	goat cheese salad	negative
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the $T$ had bones in it . . . it was disgusting .	penne w / chicken	negative
the $T$ was delicious but do not come here on a empty stomach .	food	negative
the $T$ are small but being that the food was so good makes up for that .	portions	negative
$T$ is not what you are coming here for . . .	service	negative
if you do n ' t mind pre - sliced low quality $T$ , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .	fish	negative
if you do n ' t mind pre - sliced low quality fish , unfriendly $T$ and a sushi chef that looks like he is miserable then this is your place .	staff	negative
if you do n ' t mind pre - sliced low quality fish , unfriendly staff and a $T$ that looks like he is miserable then this is your place .	sushi chef	negative
price and quality of $T$ alone will keep us from making a return visit .	fish	negative
price and quality of $T$ alone will keep us from making a return visit .	fish	negative
was n ' t going to share but i feel obligated . . . while sitting at the sushi bar dining we watched the $T$ accidentally drop a piece of unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing .	chef	negative
we were seated outside and the $T$ spilled red wine and hot tea on myself and my date .	waiter	negative
one would think we ' d get an apology or complimentary drinks - instead , we got a snobby $T$ would n ' t even take our order for 15 minutes and gave us lip when we asked him to do so .	waiter	negative
with so many good restaurants on the uws , i do n ' t need overpriced $T$ , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .	food	negative
with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant $T$ who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .	wait - staff	negative
with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy $T$ , and management that does n ' t care .	service	negative
with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and $T$ that does n ' t care .	management	negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the $T$ and i thought the food was overated and on the pricey side .	service	negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the $T$ was overated and on the pricey side .	food	negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the $T$ was overated and on the pricey side .	food	negative
the only problem is that the $T$ is a complete incompetent .	manager	negative
he offers subpar $T$ and has no personality .	service	negative
there is no excuse for such lousy $T$ !	service	negative
there is a downside if you ' re ordering in - - the $T$ have major attitude .	delivery guys	negative
never have i had such dramatic $T$ ( a lot of huffing and panting and muttering under breath b / c i live in a walkup ) who always seem disappointed with their tips .	delivery guys	negative
the $T$ was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol	pasta penne	negative
the $T$ was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne . . . got a little moody afterwards cause was stuffed . . . lol	pasta penne	negative
it was totally overpriced - $T$ was about $ 15 . . . .	fish and chips	negative
excellent food , although the $T$ could use some help .	interior	negative
$T$ can be spot on or lacking depending on the weather and the day of the week .	delivery	negative
$T$ sometimes get upset if you do n ' t tip more than 10 % .	delivery guy	negative
the $T$ is limited so be prepared to wait up to 45 minutes - 1 hour , but be richly rewarded when you savor the delicious indo - chinese food .	space	negative
had no flavor and the $T$ is rude and not attentive .	staff	negative
had no flavor and the $T$ is rude and not attentive .	staff	negative
worst $T$ on smith street in brooklyn	place	negative
very immature $T$ , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .	bartender	negative
very immature bartender , didnt know how to make specific drinks , $T$ was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .	service	negative
very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the $T$ was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .	food	negative
very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , $T$ were busy flirting with men at the bar and werent very attentive to all the customers .	waitresses	negative
i would never recommend this $T$ to anybody even for a casual dinner .	place	negative
i would never recommend this $T$ to anybody even for a casual dinner .	place	negative
overpriced $T$ with mediocre service	japanese food	negative
$T$ was luke warm .	food	negative
i was looking for banana tempura for $T$ and they dont have .	dessert	negative
not because you are ` ` $T$ ` ` . . . – you are allowed to charge an arm and a leg for a romatic dinner .	the four seasons	negative
the food was excellent as well as service , however , i left $T$ very dissappointed .	the four seasons	negative
i do not think $T$ in manhattan should cost $ 400 . 00 where i am not swept off my feet .	dinner	negative
gross $T$ – wow -	food	negative
i ca n ' t remember the last time i had such gross $T$ in new york .	food	negative
and $ 11 for a plate of bland $T$ ?	guacamole	negative
and $ 11 for a plate of bland $T$ ?	guacamole	negative
do n ' t get me started on the $T$ , either .	margaritas	negative
oh , and i never write reviews - - i just was so moved by how bad this $T$ was , i felt it was my duty to spread the word .	place	negative
we were offered water for the table but were not told the $T$ were $ 8 a piece .	voss bottles of water	negative
a weakness is the $T$ .	chicken in the salads	negative
also , i personally was n ' t a fan of the $T$ .	portobello and asparagus mole	negative
i ' ve enjoyed 99 % of the $T$es we ' ve ordered with the only exceptions being the occasional too - authentic - for - me dish ( i ' m a daring eater but not that daring ) .	dish	negative
$T$ ok but unfriendly , filthy bathroom .	service	negative
$T$ ok but unfriendly , filthy bathroom .	service	negative
service ok but unfriendly , filthy $T$ .	bathroom	negative
the $T$ were eh , ok to say the least .	bar drinks	negative
the $T$ was horrid . . . tasted like cardboard .	stuff tilapia	negative
we thought the $T$ would be better , wrong !	dessert	negative
oh speaking of bathroom , the $T$ was disgusting .	mens bathroom	negative
the wine list was extensive - though the $T$ did not seem knowledgeable about wine pairings .	staff	negative
the $T$ we received was horrible - rock hard and cold - and the ` ` free ' ' appetizer of olives was disappointing .	bread	negative
the $T$ we received was horrible - rock hard and cold - and the ` ` free ' ' appetizer of olives was disappointing .	bread	negative
the $T$ we received was horrible - rock hard and cold - and the ` ` free ' ' appetizer of olives was disappointing .	bread	negative
the dessert ( we had a pear torte ) was good - but , once again , the $T$ was unable to provide appropriate drink suggestions .	staff	negative
when we inquired about ports - the $T$ listed off several but did not know taste variations or cost .	waitress	negative
all in all , i would return - as it was a beautiful restaurant - but i hope the $T$ pays more attention to the little details in the future .	staff	negative
the service was extremely fast and attentive ( thanks to the service button on your table ) but i barely understood 1 word when the $T$ took our order .	waiter	negative
over all the looks of the place exceeds the actual $T$ .	meals	negative
so what you really end up paying for is the $T$ not the food .	restaurant	negative
so what you really end up paying for is the restaurant not the $T$ .	food	negative
maggot in the $T$ !	food	negative
nevertheless , i finished my plate , and that ' s when i found a maggot in $T$ at the bottom .	mushroom sauce	negative
i showed it to the $T$ , and he smilingly apologized and brought us two free desserts ( but did not ask us what we wanted and so brought the last two desserts we would have asked for ) .	manager	negative
the $T$ finally said he would com # # p the two glasses of wine ( which cost less than the food ) , and made it seem like a big concession .	manager	negative
i have worked in restaurants and cook a lot , and there is no way a maggot should be able to get into well prepared $T$ .	food	negative
for a restaurant with such a good reputation and that is usually so packed , there was no reason for such a lack of intelligent $T$ .	customer service	negative
i got hair in my $T$ 2 times of then !	food	negative
mazing $T$ .	interior	negative
the $T$ was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .	atmosphere	negative
the atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy $T$ .	scheme of mirrors	negative
despite the confusing $T$ this will likely be my go - to for modern japanese food for the foreseeable future .	mirrors	negative
the chicken lollipop is my favorite , most of the $T$ ( i have to agree with a previous reviewer ) are quite oily and very spicy , espeically the chilli chicken .	dishes	negative
the chicken lollipop is my favorite , most of the $T$ ( i have to agree with a previous reviewer ) are quite oily and very spicy , espeically the chilli chicken .	dishes	negative
the chicken lollipop is my favorite , most of the dishes ( i have to agree with a previous reviewer ) are quite oily and very spicy , espeically the $T$ .	chilli chicken	negative
the chicken lollipop is my favorite , most of the dishes ( i have to agree with a previous reviewer ) are quite oily and very spicy , espeically the $T$ .	chilli chicken	negative
my mom originally introduced me to this place , but even she ( being indian ) feels the $T$ can be somewhat over the top spicy and far too oily .	food	negative
my mom originally introduced me to this place , but even she ( being indian ) feels the $T$ can be somewhat over the top spicy and far too oily .	food	negative
i was speechless by the horrible $T$ .	food	negative
