sentence,predicted_term,gold_terms
The amenities are good.,amenities,amenities
The pasta at Angelina was memorable.,pasta,pasta
We really like our breakfast.,breakfast.,breakfast
The pool is beautiful.,pool,pool
The dish is diverse and attractively decorated.,dish,dish
Dishes went up quite quickly.,Dishes,dishes
The fruit juice is pure and fresh.,fruit juice,fruit juice
The hotel's Grill rental service is appreciated.,Grill rental service,Grill rental service
The swimming pool is breathtakingly beautiful.,swimming pool,swimming pool
The playground is diverse.,playground,playground
The pool is quite convenient.,pool,pool
Breakfast is diverse.,Breakfast,breakfast
The swimming pool is endless.,pool,bar on the lake
The pool was free.,pool,pool
The food is delicious.,food,food
Beautiful pool.,pool.,pool
The kitchen is very delicious.,kitchen,Dish
Breakfast is delicious and very satisfying.,Breakfast,have breakfast
The gym is clean and fully equipped.,gym,gym
The breakfast is simple.,breakfast,have breakfast
Eat delicious.,Eat,eat
The spa area is fabulous.,spa area,spa area
The space is spacious.,space,space
Free beverage.,beverage.,beverage
dish ngon.,dish,dish
We really enjoy the Breakfast Buffet.,Breakfast Buffet.,Breakfast Buffet
The hotel has spa services.,spa services.,hotel
Wine is delicious.,Wine,wine
"Delicious food, quality, reasonable prices, food is diverse and rich.",food,food
The restaurant is luxurious.,restaurant,restaurant
Food is very delicious.,Food,food
The restaurant has diverse and delicious dishes.,dishes.,restaurant
The restaurants are a variety.,restaurants,restaurants
Hotel has a play area for children.,Hotel,Hotel
The food quality is ngon.,food quality,food quality
The rooftop restaurant was lovely.,rooftop restaurant,rooftop restaurant
The food is fast.,food,food
"food comes in a variety of skin types, suitable for both adults and babies, with many dishes and drinks.",food,food
Menu has exquisite variety.,Menu,menu
Food quality suits your taste.,Food quality,food quality
The private pool and buffet are delicious.,buffet,buffet
The food is delicious and diverse.,food,food
The cooking class is truly amazing!,cooking class,cooking class
"Sua gave us a tour of the beautiful lake and garden and showed us all amenities of the hotel, which was very useful as it is huge and we used all.",Sua,amenities of the hotel
many playground s.,playground,playground
The beach is beautiful.,beach,Mercure
Great Vinpear Cua So !,Vinpear Cua So,Vinpear Cua So
The quality meets 5-star standards.,quality,quality
Will support Vinpearl Ha Long.,Vinpearl Ha Long.,Vinpearl Ha Long
The resort is deserving of resort 5*.,resort,resort
"Near the beach, convenient Book grab, affordable price. Should choose Muong Thanh grand hotel.",price.,Muong Thanh grand hotel
"Every time I go to the dock, I will visit Mercure Vung Tau.",Mercure Vung Tau.,Mercure Vung Tau
We picked-up Vin pearl resort as recommendation from out friend who was there some time ago.,Vin pearl resort,Vin pearl resort
I chose Muong Thanh as the place where my family rested.,Muong Thanh,Muong Thanh
"Very wonderful.. next time I come to Phu Quoc, I will still choose to stay at hotel . Thank you for giving me a complete trip.",hotel,hotel
The restaurant breakfast is too small.,restaurant breakfast,restaurant
The kitchen system has not been used yet.,kitchen system,kitchen system
The room is quite complete.,room,room
The elevator is a bit slow during rush hour.,elevator,elevator
The sanitary equipment is old.,sanitary equipment,sanitary equipment
The room is small.,room,room
The bathroom door is not tight.,bathroom door,toilet floor
The recreation senter has no aircondition.,recreation senter,aircondition
The lamp room is dark.,lamp room,lamp
"Room: many broken appliances (night lights), dirty sofa. house door vs squeaks, very difficult to pull.",house door,house door
The price is indeed high.,price,price
The dinner dish in the menu is neither rich nor very delicious.,dinner dish,dinner dish
Fried Tay Ho shrimp cake is tough.,Fried Tay Ho shrimp cake,Tay Ho shrimp cake
The food is not special.,food,food
The sea bass is friable.,sea bass,sea ​​bass
The gym is small with a great view.,gym,gym
"2. The room doesn't have toothbrush but there are two ice creams, WTF? The day I went I didn't bring a toothbrush because I thought the hotel would have to call early in the morning to ask for a toothbrush and comb????",but there,toothbrush
The swimming pool is small.,swimming pool,swimming pool
There are a lot of customers in the cafe area.,cafe area.,swimming pool area
"pool is not too big but is also very nice for families. Breakfast is delicious, but because my family got down a bit late, it often ran out of food.",pool,pool
Employee quality is the worst of any resort I've ever been to.,Employee quality,employee quality
The room service always forgot to refill stuff in bathroom.,bathroom.,room service
The staff is enthusiastic.,staff,complaint
Have breakfast is fine.,Have breakfast,have breakfast
Food is okay.,Food,food
The pool is fine.,pool,pool
My family came to Mercure thanks to a friend's recommendation.,Mercure,Mercure
